End Time,Artist Name,Track Name,Milliseconds Played
2024-04-18 09:50,Anderex,Gucci Bag - Revelation Remix,175072
2024-04-18 10:38,Anderex,Gucci Bag - Revelation Remix,18488
2024-04-18 10:40,Luminite,#FearTheGear - Aversion Edit,87604
2024-04-18 10:43,Killshot,Fake It,188599
2024-04-18 10:45,Rooler,LOVE U BABY,155070
2024-04-18 10:48,The Straikerz,Hit The Jackpot,163878
2024-04-18 10:51,Fraw,Devil - So Juice Remix,145500
2024-04-18 10:53,Anderex,Hydrochloric,147750
2024-04-18 10:56,Riot Shift,RUN AWAY,172500
2024-04-18 10:57,Dual Damage,Can't Stop Us,46104
2024-04-18 11:38,KYTES,Apricosa,4005
2024-04-18 11:38,Manu Chao,Me Gustas Tu,217781
2024-04-18 11:48,Milky Chance,We Didn't Make It To The Moon,210013
2024-04-18 11:50,Cab'Ral,Take Time,124575
2024-04-18 11:50,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,10770
2024-04-18 11:53,Milky Chance,Living In A Haze,173369
2024-04-18 11:56,George Ezra,Budapest,200733
2024-04-18 12:00,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),195546
2024-04-18 12:03,Hajaj,High No More,198845
2024-04-18 12:06,D.O.D,Set Me Free,180638
2024-04-18 12:08,Malugi,Reach Out,138000
2024-04-18 12:11,Party Animals,This Moment - Flamman & Abraxas Radio Mix,169677
2024-04-18 12:14,Kenny B,Parijs,193062
2024-04-18 12:19,Ofenbach,Be Mine,103257
2024-04-18 21:18,Ofenbach,Be Mine,5100
2024-04-18 21:21,Nickodemus,Mi Swing es Tropical,199250
2024-04-18 21:33,Milky Chance,Synchronize,100760
2024-04-18 22:02,Milky Chance,Synchronize,63849
2024-04-18 22:02,Toploader,Dancing in the Moonlight,7960
